Date,2317,2409,2330,2303,3481
20210104,99.9000015258789,14.199999809265137,536.0,45.54999923706055,14.350000381469728
20210105,104.0,14.0,542.0,46.34999847412109,14.0
20210106,105.0,13.5,549.0,46.95000076293945,13.300000190734863
20210107,107.0,13.800000190734863,565.0,46.20000076293945,13.550000190734863
20210108,108.0,13.899999618530272,580.0,47.84999847412109,13.350000381469728
20210111,107.5,14.149999618530272,584.0,50.0,13.449999809265137
20210112,104.0,13.899999618530272,591.0,48.45000076293945,13.050000190734863
20210113,106.5,15.050000190734863,605.0,50.0,13.899999618530272
20210114,116.0,14.800000190734863,592.0,49.900001525878906,13.800000190734863
20210115,115.5,14.699999809265137,601.0,48.75,13.949999809265137
20210118,114.0,14.800000190734863,607.0,49.650001525878906,14.0
20210119,115.0,14.699999809265137,627.0,53.0,13.800000190734863
20210120,114.5,13.75,647.0,52.09999847412109,13.050000190734863
20210121,117.0,14.100000381469728,673.0,54.0,13.25
20210122,121.5,14.5,649.0,56.5,13.600000381469728
20210125,123.0,14.699999809265137,633.0,57.20000076293945,13.699999809265137
20210126,122.0,14.199999809265137,617.0,54.79999923706055,13.300000190734863
20210127,123.0,14.399999618530272,615.0,54.79999923706055,13.0
20210128,118.5,14.5,601.0,51.20000076293945,12.75
20210129,111.5,14.75,591.0,50.0,13.050000190734863
20210201,113.0,15.850000381469728,611.0,50.79999923706055,13.699999809265137
20210202,116.5,16.450000762939453,632.0,52.59999847412109,14.050000190734863
20210203,116.5,17.549999237060547,630.0,52.0,14.399999618530272
20210204,114.0,16.450000762939453,627.0,51.900001525878906,14.399999618530272
20210205,113.5,16.100000381469727,632.0,52.900001525878906,14.600000381469728
20210217,114.0,16.600000381469727,663.0,57.59999847412109,15.0
20210218,113.0,16.399999618530273,660.0,58.20000076293945,15.0
20210219,110.0,17.049999237060547,652.0,57.20000076293945,15.449999809265137
20210222,111.0,18.049999237060547,650.0,56.79999923706055,16.350000381469727
20210223,111.5,17.899999618530273,641.0,55.79999923706055,16.149999618530273
20210224,110.5,18.25,625.0,54.70000076293945,16.600000381469727
20210225,116.5,19.850000381469727,635.0,55.70000076293945,17.799999237060547
20210226,112.0,18.899999618530277,606.0,54.20000076293945,17.0
20210302,112.0,18.75,609.0,52.70000076293945,16.700000762939453
20210303,115.5,19.200000762939453,622.0,51.900001525878906,17.0
20210304,114.5,19.049999237060547,601.0,49.04999923706055,17.100000381469727
20210305,115.0,18.5,601.0,47.04999923706055,16.549999237060547
20210308,113.5,18.200000762939453,598.0,46.09999847412109,16.600000381469727
20210309,115.0,18.399999618530277,595.0,46.34999847412109,16.700000762939453
20210310,115.5,18.399999618530277,597.0,46.54999923706055,16.5
20210311,117.0,18.450000762939453,609.0,48.650001525878906,16.600000381469727
20210312,120.0,18.600000381469727,614.0,49.09999847412109,17.0
20210315,121.0,18.399999618530277,611.0,48.150001525878906,16.600000381469727
20210316,123.0,18.399999618530277,613.0,48.29999923706055,16.700000762939453
20210317,126.0,18.649999618530277,604.0,48.0,16.799999237060547
20210318,129.5,19.100000381469727,602.0,47.04999923706055,17.100000381469727
20210319,123.5,19.100000381469727,591.0,46.04999923706055,17.149999618530273
20210322,130.0,20.0,593.0,48.20000076293945,18.850000381469727
20210323,130.5,19.75,594.0,48.5,19.0
20210324,128.0,20.5,576.0,47.150001525878906,20.200000762939453
20210325,126.5,19.5,575.0,48.650001525878906,19.549999237060547
20210326,126.5,20.149999618530277,590.0,49.75,20.0
20210329,128.5,21.299999237060547,599.0,49.34999847412109,21.200000762939453
20210330,129.5,21.5,597.0,50.59999847412109,21.549999237060547
20210331,124.0,21.049999237060547,587.0,50.20000076293945,21.100000381469727
20210401,121.5,21.049999237060547,602.0,50.5,21.350000381469727
20210407,123.5,23.200000762939453,610.0,51.5,23.5
20210408,122.5,23.350000381469727,613.0,54.0,24.0
20210409,120.0,24.600000381469727,610.0,53.0,24.649999618530277
20210412,120.5,27.049999237060547,605.0,53.59999847412109,27.0
20210413,122.5,25.600000381469727,605.0,54.400001525878906,24.399999618530277
20210414,121.5,24.799999237060547,612.0,52.70000076293945,23.149999618530277
20210415,121.0,25.299999237060547,619.0,53.09999847412109,23.399999618530277
20210416,123.5,25.850000381469727,610.0,54.0,24.350000381469727
20210419,121.5,27.200000762939453,603.0,54.59999847412109,25.25
20210420,122.0,26.899999618530277,602.0,54.09999847412109,25.5
20210421,120.0,29.100000381469727,592.0,53.400001525878906,27.549999237060547
20210422,117.5,28.0,591.0,54.79999923706055,26.950000762939453
20210423,119.0,28.850000381469727,602.0,57.0,27.75
20210426,117.5,30.200000762939453,610.0,61.79999923706055,28.899999618530277
20210427,118.5,31.100000381469727,610.0,60.5,29.75
20210428,117.0,33.349998474121094,602.0,60.0,31.149999618530277
20210429,116.0,33.150001525878906,600.0,56.70000076293945,30.100000381469727
20210503,112.5,29.850000381469727,588.0,53.0,27.100000381469727
20210504,108.5,27.399999618530277,591.0,54.59999847412109,25.100000381469727
20210505,110.0,27.0,585.0,51.79999923706055,25.299999237060547
20210506,112.5,25.700000762939453,587.0,51.29999923706055,24.350000381469727
20210507,117.5,28.149999618530277,599.0,54.0,26.75
20210510,113.0,26.850000381469727,589.0,52.5,25.450000762939453
20210511,107.0,24.200000762939453,571.0,49.0,22.950000762939453
20210512,102.0,22.0,560.0,46.34999847412109,21.149999618530277
20210513,103.0,21.799999237060547,547.0,47.54999923706055,21.0
20210514,104.5,21.850000381469727,557.0,46.79999923706055,20.899999618530277
20210517,98.1999969482422,20.0,549.0,43.95000076293945,18.850000381469727
