DateTime,3008,9910,2317,2454,1326,1101,2207,6505,2912,4904,2882,2327,2382,1216
20180102,4255.0,103.40908813476562,118.75,291.5,103.5,29.57132339477539,359.0,115.0,287.5,73.5999984741211,53.9533805847168,295.463623046875,61.900001525878906,67.19999694824219
20180103,4145.0,103.40908813476562,117.5,300.5,103.5,30.21857452392578,361.0,117.5,284.5,74.5999984741211,54.948829650878906,324.6761474609375,62.59999847412109,67.5
20180104,4135.0,103.78787994384766,115.75,307.0,104.5,30.09721565246582,353.5,119.0,285.5,75.0,55.14791870117188,332.6052551269531,62.900001525878906,67.5
20180105,4100.0,103.78787994384766,116.25,300.0,104.0,30.17812156677246,352.5,120.0,283.0,75.4000015258789,55.44655227661133,337.1957702636719,61.79999923706055,67.30000305175781
20180108,3930.0,104.16666412353516,114.75,298.0,105.5,30.906280517578125,358.0,122.0,287.0,76.19999694824219,55.44655227661133,333.8572082519531,62.59999847412109,67.9000015258789
20180109,3745.0,104.92424011230467,114.75,304.0,110.0,30.98718643188477,356.0,120.5,286.5,76.4000015258789,55.54609680175781,328.849365234375,61.5,67.5999984741211
20180110,3775.0,105.68181610107422,113.5,309.5,108.0,31.108545303344727,355.0,120.0,283.0,76.4000015258789,55.34700775146485,316.7470397949219,61.900001525878906,67.5999984741211
20180111,3730.0,105.68181610107422,114.25,306.0,109.0,30.33993530273437,351.5,119.5,284.0,75.5,55.14791870117188,322.58953857421875,62.09999847412109,67.9000015258789
20180112,4100.0,106.43939208984376,114.75,309.5,108.5,30.420841217041016,352.0,120.0,284.5,75.5,55.34700775146485,312.9911499023437,62.20000076293945,68.0999984741211
20180115,4030.0,106.43939208984376,116.625,313.0,109.0,30.62310791015625,353.0,120.0,286.0,75.19999694824219,56.24291229248047,295.463623046875,62.79999923706055,68.69999694824219
20180116,4000.0,105.30303192138672,116.75,312.0,108.5,30.825374603271484,360.0,120.0,285.0,75.0,56.34245681762695,300.8888244628906,63.400001525878906,68.30000305175781
20180117,3980.0,104.16666412353516,116.75,306.5,108.0,31.14900016784668,366.0,120.0,288.0,75.0999984741211,56.0438232421875,296.2982788085937,63.70000076293945,67.5999984741211
20180118,3985.0,104.92424011230467,117.25,319.5,109.0,30.62310791015625,368.0,120.5,291.0,75.0,55.6456413269043,302.1407775878906,64.5999984741211,68.19999694824219
20180119,4000.0,103.78787994384766,121.125,319.0,107.5,30.66356086730957,369.5,121.0,287.5,75.0,55.74518966674805,324.6761474609375,65.0,69.19999694824219
20180122,4000.0,107.19696807861328,120.75,319.0,109.0,30.62310791015625,368.0,120.5,287.0,75.19999694824219,55.34700775146485,346.3768615722656,65.0,69.9000015258789
20180123,3965.0,107.57575988769533,121.125,318.0,109.0,30.17812156677246,372.0,122.5,288.5,75.30000305175781,55.74518966674805,329.6839904785156,64.19999694824219,69.0999984741211
20180124,3790.0,107.9545440673828,119.875,307.5,107.5,30.17812156677246,366.5,121.5,287.0,75.0,55.44655227661133,331.353271484375,64.19999694824219,68.4000015258789
20180125,3790.0,112.12120819091795,119.25,305.5,109.0,30.420841217041016,388.0,123.0,291.0,75.69999694824219,55.34700775146485,330.101318359375,64.9000015258789,68.69999694824219
20180126,3880.0,110.98484802246094,119.25,308.0,111.0,30.906280517578125,385.0,124.0,288.5,76.0,54.45110321044922,311.32183837890625,64.4000015258789,67.5
20180129,4035.0,107.9545440673828,118.375,308.0,114.5,30.70401382446289,384.5,126.5,291.5,75.69999694824219,54.948829650878906,319.2509460449219,64.5,69.19999694824219
20180130,4055.0,105.30303192138672,117.0,299.0,109.5,30.66356086730957,373.0,124.0,286.0,76.0,54.152469635009766,311.32183837890625,63.70000076293945,69.4000015258789
20180131,4005.0,104.5454559326172,115.25,299.0,109.0,30.461294174194336,379.5,124.0,288.5,76.0,54.351558685302734,323.0068359375,63.5,70.0
20180201,4080.0,103.40908813476562,116.875,307.0,110.5,30.66356086730957,372.5,124.5,291.5,76.4000015258789,54.5506477355957,322.1722106933594,64.0,70.30000305175781
20180202,3980.0,102.2727279663086,119.0,304.5,107.0,30.66356086730957,370.0,120.5,291.0,75.9000015258789,54.45110321044922,333.8572082519531,64.0,69.0
20180205,3800.0,102.2727279663086,116.0,299.0,107.5,30.58265495300293,373.0,119.5,288.5,74.9000015258789,53.85383224487305,321.3375549316406,62.900001525878906,68.30000305175781
20180206,3420.0,94.69696807861328,111.5,286.5,103.0,28.72180557250977,341.0,113.0,276.5,74.4000015258789,50.56884765625,295.463623046875,60.0,65.69999694824219
20180207,3655.0,97.34848022460938,112.5,284.5,107.5,29.4499626159668,337.5,116.0,280.0,75.5,52.460205078125,298.3848876953125,59.400001525878906,66.80000305175781
20180208,3725.0,97.7272720336914,111.25,286.0,108.5,29.733135223388672,340.5,115.5,276.0,74.19999694824219,53.05747222900391,290.4557800292969,59.5,66.5999984741211
20180209,3575.0,95.07575988769533,109.375,283.0,105.5,28.802711486816406,332.0,116.0,273.0,73.30000305175781,52.55974960327149,276.6841735839844,59.20000076293945,66.0
20180212,3680.0,96.96969604492188,109.5,285.0,105.5,29.08588409423828,326.0,111.5,273.5,73.5,52.75883865356445,260.4086303710937,58.5,65.5
20180221,3950.0,101.13636016845705,110.25,304.5,109.5,30.09721565246582,337.0,115.5,280.5,74.5,53.75428771972656,272.0936279296875,59.5,69.19999694824219
20180222,3845.0,100.75757598876952,109.875,302.0,106.5,29.53087043762207,329.0,113.0,282.0,73.30000305175781,53.9533805847168,272.92828369140625,59.70000076293945,66.80000305175781
